# Z_list, L_x, em_tot, avg_tot, n_tot, integral_results_z_tot
1.000000000000000021e-02 1.000000000000000088e+44 4.890782529558094680e+37 1.021445117443824715e+44 4.788101138314039423e-07 1.954066798342659993e-39
3.200000000000000067e-01 1.429461338356844077e+44 2.743161786773588711e+38 1.483390871288856976e+44 1.849250821120510798e-06 1.865213900190552310e-39
6.300000000000000044e-01 2.043359717856939484e+44 2.068622260804346126e+39 5.008207650499931272e+44 4.130464240231435207e-06 1.780043405128768759e-39
9.399999999999999467e-01 2.920903717032243927e+44 8.472669825140080902e+39 1.152432299878331823e+45 7.351989202345842370e-06 1.697830464746207038e-39
1.250000000000000000e+00 4.175318936560391909e+44 1.912779066608985560e+40 1.673311309709956024e+45 1.143110104802039413e-05 1.617391002821323481e-39
1.560000000000000053e+00 5.968456995122291925e+44 3.655339743587089733e+40 2.258395858892887592e+45 1.618555812167939804e-05 1.536884139518539576e-39
1.869999999999999885e+00 8.531678524172779644e+44 6.282090259154542939e+40 2.940289610907773766e+45 2.136554928415719691e-05 1.453177109680021732e-39
2.179999999999999716e+00 1.219570460159436512e+45 9.732691828664284104e+40 3.646706564663978751e+45 2.668899089104826634e-05 1.360128519546928090e-39
2.489999999999999769e+00 1.743328822199980236e+45 1.380269379458190147e+41 4.330389743357401194e+45 3.187402199941595412e-05 1.246818012076118130e-39
2.799999999999999822e+00 2.492021151378044151e+45 1.818762658818645904e+41 4.960464882368751942e+45 3.666516550259577467e-05 1.102210776581642103e-39
3.109999999999999876e+00 3.562247890262422325e+45 2.251198777352720030e+41 5.510672070495873308e+45 4.085161934069046714e-05 9.213088039495935313e-40
3.419999999999999929e+00 5.092095636773365959e+45 2.639296300651923239e+41 5.960791649206278863e+45 4.427761371265785152e-05 6.993310341563303501e-40
3.729999999999999538e+00 7.278953843983101520e+45 2.950398077549237011e+41 6.298114934248972888e+45 4.684573254617909447e-05 4.419525572604953256e-40
4.040000000000000036e+00 1.040498310365777843e+46 3.161836291540889727e+41 6.517285381355989484e+45 4.851462083563136136e-05 2.074020001838127985e-40
4.349999999999999645e+00 1.487352107293499639e+46 3.262907408900268352e+41 6.619456008787814218e+45 4.929268212627319908e-05 7.170955637284506206e-41
4.660000000000000142e+00 2.126112333899673067e+46 3.254616521321231684e+41 6.611135161809381442e+45 4.922931450747235129e-05 2.078569585813507533e-41
4.969999999999999751e+00 3.039195382313219770e+46 3.147727866373971948e+41 6.502894090186311916e+45 4.840503047903380171e-05 5.639164799982287916e-42
5.279999999999999361e+00 4.344412298729395386e+46 2.959842881522244785e+41 6.308069844386418281e+45 4.692152995351221961e-05 1.499282181645223633e-42
5.589999999999999858e+00 6.210169418915654395e+46 2.712209182176532327e+41 6.041563994451843236e+45 4.489250109189009175e-05 3.963263694310311695e-43
5.899999999999999467e+00 8.877197088985915260e+46 2.426811264756500711e+41 5.718803469409190611e+45 4.243564720728573275e-05 1.045987119674352291e-43
6.209999999999999964e+00 1.268961003167928569e+47 2.124084503993819146e+41 5.354897749485377756e+45 3.966620098764631503e-05 2.759350668044990420e-44
6.519999999999999574e+00 1.813930693911070650e+47 1.821388000977438515e+41 4.963992230584461674e+45 3.669199943052666498e-05 7.278370309668442244e-45
6.830000000000000071e+00 2.592943797404677533e+47 1.532207350903884932e+41 4.558776621319023343e+45 3.361005546397139284e-05 1.919758808300525952e-45
7.139999999999999680e+00 3.706512910922168224e+47 1.265963612615268655e+41 4.150091979993510616e+45 3.050447119529259708e-05 5.063550195141655219e-46
7.449999999999999289e+00 5.298316906283723992e+47 1.028295844877408248e+41 3.746684765882091641e+45 2.744548605319652369e-05 1.335557053872256912e-46
7.759999999999999787e+00 7.573739175895024676e+47 8.217160912724887955e+40 3.355390493731668816e+45 2.448943253572326414e-05 3.522649720311633039e-47
8.070000000000000284e+00 1.082636733874056346e+48 6.464833053725628192e+40 2.982020082429583524e+45 2.167937463539294272e-05 9.291298011416449052e-48
8.379999999999999005e+00 1.547587354557890822e+48 5.013949755543931710e+40 2.632516723939854107e+45 1.904622185282833801e-05 2.450661316781803527e-48
8.689999999999999503e+00 2.212216291070450230e+48 3.842303650763191420e+40 2.313227903491128230e+45 1.661013878037861618e-05 6.463833999889061817e-49
9.000000000000000000e+00 3.162277660168379267e+48 2.919064965425556528e+40 2.029651190802716514e+45 1.438210160767122482e-05 1.704892859644936090e-49
