#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
4.271273043128070709e-40,6.694728904125855617e-40,5.070392248711661891e-40,3.504273787463240102e-40,1.000000000000000088e+44,1.000000000000000021e-02
4.174305563773619740e-40,6.543614312845214560e-40,4.955942082874852913e-40,3.425155090804279025e-40,1.191986087391091981e+44,1.623728813559322248e-01
4.079086807581880748e-40,6.395910089555137605e-40,4.844074515318042849e-40,3.347805489204838911e-40,1.420830832533923851e+44,3.147457627118644408e-01
3.985261461114995482e-40,6.251538750904646025e-40,4.734730597924310780e-40,3.272170972059916558e-40,1.693610584916739502e+44,4.671186440677966845e-01
3.892305717730136654e-40,6.110424139234167408e-40,4.627852164631885730e-40,3.198186939975325270e-40,2.018760254679043150e+44,6.194915254237288726e-01
3.799486253163833636e-40,5.972491037395868411e-40,4.523381353404055084e-40,3.125768554226785032e-40,2.406334137355516509e+44,7.718644067796610608e-01
3.705840332760592664e-40,5.837664494108589775e-40,4.421259752626579710e-40,3.054793055621022788e-40,2.868316813342020667e+44,9.242372881355933600e-01
3.610178612336914411e-40,5.705868616173326311e-40,4.321426856241698023e-40,2.985067438819615334e-40,3.418993735733640073e+44,1.076610169491525548e+00
3.511100944660757340e-40,5.577024379484246641e-40,4.223817247262585806e-40,2.916269626087911974e-40,4.075392965871794810e+44,1.228983050847457736e+00
3.407014753529384748e-40,5.451045635116306973e-40,4.128355443221512911e-40,2.847842387405457396e-40,4.857811715970698456e+44,1.381355932203389925e+00
3.296151011184377290e-40,5.327831796809817997e-40,4.034946445505533790e-40,2.778805381088550921e-40,5.790443980602518763e+44,1.533728813559322113e+00
3.176577430245563387e-40,5.207254430549949696e-40,3.943458403175951204e-40,2.707433255392659632e-40,6.902128664695695729e+44,1.686101694915254301e+00
3.046210855373577032e-40,5.089132650947562783e-40,3.853690830921957884e-40,2.630740392645766659e-40,8.227241341700524553e+44,1.838474576271186711e+00
2.902833075569006914e-40,4.973188010383456425e-40,3.765316458495135771e-40,2.543766391796402731e-40,9.806757216915844793e+44,1.990847457627118899e+00
2.744118893964435631e-40,4.858961949032455413e-40,3.677775277028000593e-40,2.438894616944765431e-40,1.168951816498587256e+45,2.143220338983050866e+00
2.567695188084971585e-40,4.745665349317912206e-40,3.590083049119713645e-40,2.305991716575893732e-40,1.393374302096860574e+45,2.295593220338982832e+00
2.371269099514365557e-40,4.631906524446195124e-40,3.500490598165940139e-40,2.134673906351682774e-40,1.660882782627702976e+45,2.447966101694915242e+00
2.152898321607064811e-40,4.515206872270401633e-40,3.405895664215875804e-40,1.918992613321669962e-40,1.979749169679625031e+45,2.600338983050847652e+00
1.911531158674019023e-40,4.391163601721562180e-40,3.300886833196260146e-40,1.661745314105409523e-40,2.359833466782179356e+45,2.752711864406779618e+00
1.648005721359165967e-40,4.252085092701187009e-40,3.176374923085200606e-40,1.374920370855425267e-40,2.812888660964246160e+45,2.905084745762712028e+00
1.366685549736917601e-40,4.085027857775882103e-40,3.018176785784625333e-40,1.077162173493973366e-40,3.352924149249539347e+45,3.057457627118643995e+00
1.077573844304494804e-40,3.869747252927841453e-40,2.807026854931692719e-40,7.912007039049365077e-41,3.996638937983063837e+45,3.209830508474576405e+00
7.976800951626706320e-41,3.578717702699074471e-40,2.523057098232528034e-40,5.405394279782466328e-41,4.763938010401320952e+45,3.362203389830508371e+00
5.488662132008794778e-41,3.183925367186482235e-40,2.157153824590312209e-40,3.429881098322910097e-41,5.678547829591974002e+45,3.514576271186440781e+00
