#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
5.466305673271056638e-42,2.102509499343244597e-42,8.274921370710033121e-42,4.557245263137045670e-43,9.999999999999999931e+45,1.000000000000000021e-02
3.275638980582519015e-42,7.829894114343547526e-42,1.055684733446130999e-41,2.722603844772414138e-43,1.159051048314476727e+46,2.405128205128205243e-01
1.956945188053125116e-42,2.367406205970860525e-41,7.186310038350674612e-42,1.626546579691118902e-43,1.343399332598909675e+46,4.710256410256410398e-01
1.169124369752677283e-42,1.470327755346493670e-41,4.293742446406376810e-42,9.717365899504101558e-44,1.557068404753734755e+46,7.015384615384615552e-01
6.984619699654818789e-43,8.784234823230320859e-42,2.565181283009444763e-42,5.805379397298112129e-44,1.804721766827166551e+46,9.320512820512820706e-01
4.172773539834263773e-43,5.247905325695691303e-42,1.532498696152284082e-42,3.468268077493436639e-44,2.091764655756982300e+46,1.162564102564102475e+00
2.492911534696805669e-43,3.135220158625376601e-42,9.155502066133252414e-43,2.072023658429232149e-44,2.424462017082340863e+46,1.393076923076923102e+00
1.489323075047964181e-43,1.873053119858989571e-42,5.469708933092937799e-43,1.237874911962839331e-44,2.810075242497918182e+46,1.623589743589743728e+00
8.897560908193590971e-44,1.119005304990031387e-42,3.267730769612740133e-43,7.395351358240001886e-45,3.257020655659769557e+46,1.854102564102564132e+00
5.315608912623654695e-44,6.685196801519616122e-43,1.952218027191294573e-43,4.418154143304987956e-45,3.775053205324422403e+46,2.084615384615384315e+00
3.175667849145656862e-44,3.993891367248574479e-43,1.166300253720881485e-43,2.639507589082242615e-45,4.375479375074197908e+46,2.315128205128204719e+00
1.897217506755925380e-44,2.386043182716307847e-43,6.967747776545389377e-44,1.576902952419650331e-45,5.071403956558120795e+46,2.545641025641025568e+00
1.133441669256911332e-44,1.425477447001530921e-43,4.162693862293541150e-44,9.420783375032515390e-46,5.878016072274876210e+46,2.776153846153845972e+00
6.771442984439510921e-45,8.516132342569976356e-44,2.486889701935595316e-44,5.628194129708560314e-46,6.812920690579649524e+46,3.006666666666666377e+00
4.045416833984826847e-45,5.087734655411372288e-44,1.485725492718812714e-44,3.362413495849904856e-46,7.896522868499732820e+46,3.237179487179487225e+00
2.416825689634361005e-45,3.039530491380595356e-44,8.876068118326751540e-45,2.008783680256426822e-46,9.152473108773855886e+46,3.467692307692307629e+00
1.443867629413865146e-45,1.815885896919947967e-44,5.302768622284591635e-45,1.200093884659058986e-46,1.060818355139439519e+47,3.698205128205128034e+00
8.625999550610955291e-46,1.084852282279566846e-44,3.167996762375611941e-45,7.169638752800573808e-47,1.229542626595626468e+47,3.928717948717948438e+00
5.153371869507871207e-46,6.481158735598322118e-45,1.892634621892852229e-45,4.283308206363068689e-47,1.425102670302996402e+47,4.159230769230768843e+00
3.078743682934011083e-46,3.871994302095938261e-45,1.130703747721444185e-45,2.558947503949301673e-47,1.651766743970448237e+47,4.389743589743589247e+00
1.839312765548725944e-46,2.313219053425705540e-45,6.755086007211519110e-46,1.528774492164791493e-47,1.914481976169969384e+47,4.620256410256409652e+00
1.098848036055626148e-46,1.381970625895684219e-45,4.035644797037425322e-46,9.133252809160249572e-48,2.218982341458974224e+47,4.850769230769230944e+00
6.564772609421217040e-47,8.256212519130715001e-46,2.410987648487128073e-46,5.456416711788098065e-48,2.571913809059336418e+47,5.081282051282051349e+00
3.921947166425596033e-47,4.932452534356263277e-46,1.440379848450661744e-46,3.259789688819291952e-48,2.980979396564703180e+47,5.311794871794871753e+00
2.343062051251922672e-47,2.946761356651434839e-46,8.605162739529135764e-47,1.947473841646839715e-48,3.455107294592232250e+47,5.542307692307692157e+00
1.399799523821891631e-47,1.760463467731666997e-46,5.140923476084116805e-47,1.163465967423387209e-48,4.004645731836122588e+47,5.772820512820512562e+00
