#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
5.816311597088579637e-42,2.059704579365841656e-42,6.334825284186678858e-43,2.600779685051591493e-43,3.162277660168379421e+44,1.000000000000000021e-02
3.561118622217752526e-42,1.261083112795813308e-42,3.878585923647072359e-43,1.592363960238800955e-43,3.816213407949380392e+44,1.934693877551020569e-01
2.180344988369331015e-42,7.721158817195467426e-43,2.374718811056409765e-43,9.749472423371409490e-44,4.605378255822397850e+44,3.769387755102041049e-01
1.334946900855136565e-42,4.727388137660810900e-43,1.453955009015817284e-43,5.969251685388586059e-44,5.557736586486892582e+44,5.604081632653061806e-01
8.173400253670899496e-43,2.894409910896567995e-43,8.902044142657336909e-44,3.654758343446290783e-44,6.707035611184258397e+44,7.438775510204082009e-01
5.004279321065992162e-43,1.772143197964977314e-43,5.450401795545098525e-44,2.237677225385755419e-44,8.094001216083116298e+44,9.273469387755102211e-01
3.063940434337754233e-43,1.085019610481076389e-43,3.337085197154899262e-44,1.370049369745353379e-44,9.767781100894941757e+44,1.110816326530612352e+00
1.875940646568558417e-43,6.643185248689016676e-44,2.043177371285355996e-44,8.388320059056395504e-45,1.178768634793581849e+45,1.294285714285714262e+00
1.148571059022087789e-43,4.067383651142499423e-44,1.250964097078340417e-44,5.135866996256027648e-45,1.422529313485371959e+45,1.477755102040816393e+00
7.032287935315057990e-44,2.490312876469330004e-44,7.659203719521109750e-45,3.144506840169261875e-45,1.716697906607874358e+45,1.661224489795918524e+00
4.305617246466667014e-44,1.524729102199932227e-44,4.689455257280274267e-45,1.925268562266089560e-45,2.071698399895303401e+45,1.844693877551020433e+00
2.636174747620015881e-44,9.335368487478261697e-45,2.871184971093515920e-45,1.178772769548321065e-45,2.500110382617940853e+45,2.028163265306122121e+00
1.614035085374266868e-44,5.715710723384526768e-45,1.757923401750229478e-45,7.217202157984677924e-46,3.017114810529277032e+45,2.211632653061224474e+00
9.882156936564740048e-45,3.499524321641027892e-45,1.076313340148196349e-45,4.418833581401392737e-46,3.641031949310677217e+45,2.395102040816326383e+00
6.050489645722307648e-45,2.142633011088660171e-45,6.589879883432862887e-46,2.705493041859440762e-46,4.393970560760822129e+45,2.578571428571428292e+00
3.704497427837881963e-45,1.311857212083685032e-45,4.034746691153658655e-46,1.656476186466580585e-46,5.302611335911970812e+45,2.762040816326530646e+00
2.268130679730886818e-45,8.032030384995745198e-46,2.470330438450192087e-46,1.014200855029693994e-46,6.399152336349285542e+45,2.945510204081632555e+00
1.388694925707985490e-45,4.917723629618782865e-46,1.512494573330662617e-46,6.209587452851426282e-47,7.722449945836207202e+45,3.128979591836734464e+00
8.502480099232316972e-46,3.010945494241034517e-46,9.260460862838207028e-47,3.801907299070405433e-47,9.319395762340776055e+45,3.312448979591836817e+00
5.205763087309167119e-46,1.843493748751616802e-46,5.669847476101363317e-47,2.327771244140754702e-47,1.124657822119826491e+46,3.495918367346938727e+00
3.187301705491631327e-46,1.128704989242285239e-46,3.471443903106316614e-47,1.425210700527517112e-47,1.357228782971648235e+46,3.679387755102040636e+00
