#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
5.535463718458092909e-33,7.579443559341165492e-33,5.836414924012183142e-33,4.499725048959675473e-33,1.000000000000000006e+41,1.000000000000000021e-02
2.925690675109458956e-33,4.006007169758828356e-33,3.084754157508693812e-33,2.378265721876120918e-33,1.425102670302996395e+41,2.405128205128205243e-01
1.546323781092854806e-33,2.117306592432155497e-33,1.630394064950933987e-33,1.256991682265732751e-33,2.030917620904730526e+41,4.710256410256410398e-01
8.172743393124181195e-34,1.119054345286501312e-33,8.617077797962481044e-34,6.643544251249163548e-34,2.894266124716739776e+41,7.015384615384615552e-01
4.319429315368839532e-34,5.914386286235337326e-34,4.554267357108923061e-34,3.511222415344437966e-34,4.124626382901331278e+41,9.320512820512820706e-01
2.282798513068590946e-34,3.125725931407773916e-34,2.406909337289923645e-34,1.855664886164934902e-34,5.878016072274875851e+41,1.162564102564102475e+00
1.206355325144153048e-34,1.651804178383757723e-34,1.271942258397482577e-34,9.806346045402491124e-35,8.376776400682856170e+41,1.393076923076923102e+00
6.374085323825159016e-35,8.727727686708609124e-35,6.720630574607542318e-35,5.181432460695745874e-35,1.193776641714445560e+42,1.623589743589743728e+00
3.366932775962394090e-35,4.610178702537201837e-35,3.549985638284781360e-35,2.736947168426472960e-35,1.701254279852599685e+42,1.854102564102564132e+00
1.777488748959956020e-35,2.433829636563616270e-35,1.874126972795581944e-35,1.444903454297597640e-35,2.424462017082340610e+42,2.084615384615384315e+00
9.373611550474951978e-36,1.283483431697088709e-35,9.883234563106112977e-36,7.619718390031961671e-36,3.455107294592232341e+42,2.315128205128204719e+00
4.932823085348476456e-36,6.754276798697624126e-36,5.201010021407780250e-36,4.009844292758182774e-36,4.923882631706751730e+42,2.545641025641025568e+00
2.585432812711005876e-36,3.540108485413449502e-36,2.725997210101952571e-36,2.101673388439915103e-36,7.017038286703836874e+42,2.776153846153845972e+00
1.344737944097617321e-36,1.841284825949766854e-36,1.417848441431567651e-36,1.093124500331489024e-36,1.000000000000000014e+43,3.006666666666666377e+00
