#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
7.931117273847511312e-36,4.150495592420668514e-36,7.058156026394480872e-37,7.751544374649826968e-38,1.000000000000000045e+42,1.000000000000000021e-02
6.247314295665626943e-36,3.261010553238112168e-36,5.239787716353444341e-37,5.754540824143111317e-38,1.168951816498587294e+42,1.623728813559322248e-01
4.935226436303617572e-36,2.567677021559467358e-36,3.902542128248607583e-37,4.285925157779840037e-38,1.366448349295324410e+42,3.147457627118644408e-01
3.910262423124605770e-36,2.026377326884172926e-36,2.916322363990798954e-37,3.202819848515892175e-38,1.597312280060265348e+42,4.671186440677966845e-01
3.107548647179415730e-36,1.603042020521471940e-36,2.186850534955203907e-37,2.401685213395782106e-38,1.867181091291916768e+42,6.194915254237288726e-01
2.477242325680205492e-36,1.271346313181524060e-36,1.645653816573171766e-37,1.807321705099106437e-38,2.182644728397500541e+42,7.718644067796610608e-01
1.980976013373544005e-36,1.010934770512187909e-36,1.242887113954351851e-37,1.364987481215985365e-38,2.551406520031281991e+42,9.242372881355933600e-01
1.589157984110348254e-36,8.060539398791380876e-37,9.421796241825206231e-38,1.034738696400350954e-38,2.982471286216906360e+42,1.076610169491525548e+00
1.278919552895642818e-36,6.444995438894025530e-37,7.169277567749029816e-38,7.873582419086390756e-39,3.486365227678073625e+42,1.228983050847457736e+00
1.032550538237977187e-36,5.168060285727048275e-37,5.476234003940390972e-38,6.014215430881406589e-39,4.075392965871794364e+42,1.381355932203389925e+00
8.363069116307622501e-37,4.156226126137887243e-37,4.199245952235104134e-38,4.611776959462730126e-39,4.763938010401321165e+42,1.533728813559322113e+00
6.794987178088560042e-37,3.352328268919332334e-37,3.232594995810755579e-38,3.550162884129128045e-39,5.568813990945289635e+42,1.686101694915254301e+00
5.537931167483786233e-37,2.711844310798061406e-37,2.498141407211489300e-38,2.743557084844144791e-39,6.509675230458137366e+42,1.838474576271186711e+00
