#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
1.162221663341264460e-34,6.103941509240988370e-35,2.424634422533023427e-35,1.184163557040515338e-35,1.000000000000000045e+42,1.000000000000000021e-02
7.771215193330146542e-35,4.087787417594746335e-35,1.623768849962336658e-35,7.930300251920966249e-36,1.264855216855290642e+42,1.934693877551020569e-01
5.221302877136587295e-35,2.751860217115736340e-35,1.093105987060431221e-35,5.338603881188333353e-36,1.599858719606070376e+42,3.769387755102041049e-01
3.525175117409498934e-35,1.862450049512448872e-35,7.398105786989676722e-36,3.613149752667244537e-36,2.023589647725163745e+42,5.604081632653061806e-01
2.391652511748345207e-35,1.267396305255302422e-35,5.034407200758565966e-36,2.458746557022213010e-36,2.559547922699533325e+42,7.438775510204082009e-01
1.630471297328448918e-35,8.672521013326822561e-36,3.444936840764045303e-36,1.682467519733272662e-36,3.237457542817626676e+42,9.273469387755102211e-01
1.116814629460240855e-35,5.967626081705281889e-36,2.370486610430794169e-36,1.157718388569318231e-36,4.094915062380452278e+42,1.110816326530612352e+00
7.684667874707589538e-36,4.129311680362732686e-36,1.640263299774014087e-36,8.010857247148299697e-37,5.179474679231223017e+42,1.294285714285714262e+00
5.310434048474849197e-36,2.873050527055235405e-36,1.141245733601568695e-36,5.573712864915526613e-37,6.551285568595495677e+42,1.477755102040816393e+00
3.684133291339876290e-36,2.009719386137757195e-36,7.983095506214077247e-37,3.898852001349022844e-37,8.286427728546792018e+42,1.661224489795918524e+00
2.564643864850771616e-36,1.413031053029886390e-36,5.612903934445434053e-37,2.741277706267910350e-37,1.048113134154691668e+43,1.844693877551020433e+00
1.790313927059762853e-36,9.982578576769814882e-37,3.965323652959887915e-37,1.936618451865555693e-37,1.325711365590110934e+43,2.028163265306122121e+00
1.252259013328668825e-36,7.082787891559721315e-37,2.813456076434667320e-37,1.374059579492225393e-37,1.676832936811003040e+43,2.211632653061224474e+00
8.767855462441977354e-37,5.043931225771203477e-37,2.003572487773534836e-37,9.785217523356741625e-38,2.120950887920175204e+43,2.395102040816326383e+00
6.137743985343674636e-37,3.602473841979623561e-37,1.430990462525705714e-37,6.988792786440774759e-38,2.682695795279738348e+43,2.578571428571428292e+00
4.289687879574127008e-37,2.578033638083098445e-37,1.024057830809983391e-37,5.001380629910693402e-38,3.393221771895329561e+43,2.762040816326530646e+00
2.988339116190483017e-37,1.846492763994992226e-37,7.334719557457113941e-38,3.582192647409183650e-38,4.291934260128760617e+43,2.945510204081632555e+00
2.071143127695738887e-37,1.321982631787214133e-37,5.251237401553446375e-38,2.564643932503184050e-38,5.428675439323904062e+43,3.128979591836734464e+00
1.425172896063969875e-37,9.447551042422000141e-38,3.752797668754639972e-38,1.832823206247828693e-38,6.866488450043026347e+43,3.312448979591836817e+00
9.714815901291356678e-38,6.729759231473954477e-38,2.673224483440410341e-38,1.305572082809715766e-38,8.685113737513520549e+43,3.495918367346938727e+00
6.544850493565144652e-38,4.771456707421493702e-38,1.895338964327470674e-38,9.256617446892370132e-39,1.098541141987552849e+44,3.679387755102040636e+00
4.347465021714836231e-38,3.362926015380738682e-38,1.335836224016813972e-38,6.524070432864446771e-39,1.389495494373147283e+44,3.862857142857142989e+00
2.840684795612396422e-38,2.353697066159221014e-38,9.349458736104868435e-39,4.566168083097340650e-39,1.757510624854796602e+44,4.046326530612244454e+00
1.821579353775562918e-38,1.634762896400385623e-38,6.493676889418719960e-39,3.171437084363623638e-39,2.222996482526191083e+44,4.229795918367346808e+00
1.143588359014321165e-38,1.126458286381873007e-38,4.474567019644799274e-39,2.185327053413375123e-39,2.811768697974213827e+44,4.413265306122449161e+00
7.010009747439818756e-39,7.702046833930854676e-39,3.059440830033837014e-39,1.494195703145635640e-39,3.556480306223150318e+44,4.596734693877550626e+00
3.896983875272877519e-39,4.543208342110114406e-39,1.804673147398685825e-39,8.813816027929533095e-40,4.498432668969453207e+44,4.780204081632652979e+00
1.996163168976862440e-39,2.327180571378081317e-39,9.244128752333063500e-40,4.514726130823145948e-40,5.689866029018281824e+44,4.963673469387755333e+00
1.010503506651711706e-39,1.178072095776925066e-39,4.679589657472893333e-40,2.285457750984970304e-40,7.196856730011469450e+44,5.147142857142856798e+00
5.062519842496539483e-40,5.902021439315774709e-40,2.344426846592172245e-40,1.144991099722808550e-40,9.102981779915264101e+44,5.330612244897959151e+00
2.513645209688392955e-40,2.930475016389907379e-40,1.164056141159771259e-40,5.685116271138933404e-41,1.151395399326448145e+45,5.514081632653061504e+00
1.238639558194795501e-40,1.444039224633472481e-40,5.736075953928333164e-41,2.801433503514407315e-41,1.456348477501238376e+45,5.697551020408162969e+00
6.065074837886975529e-41,7.070826947437892121e-41,2.808704897741379787e-41,1.371739158479769654e-41,1.842069969326701252e+45,5.881020408163265323e+00
2.954354245599113974e-41,3.444265432895718777e-41,1.368146224254701230e-41,6.681868756826681874e-42,2.329951810515381535e+45,6.064489795918367676e+00
1.432989701234340509e-41,1.670617835017309978e-41,6.636101449445686134e-42,3.240995600915274531e-42,2.947051702551809539e+45,6.247959183673469141e+00
6.926788664892025056e-42,8.075436043257354060e-42,3.207760129713372068e-42,1.566633142725820279e-42,3.727593720314922669e+45,6.431428571428571495e+00
3.339056646454984854e-42,3.892761811823079507e-42,1.546299923316597889e-42,7.551950926825146613e-43,4.714866363457428370e+45,6.614897959183673848e+00
1.606054873380054828e-42,1.872381855343439635e-42,7.437557341791243032e-43,3.632417438150237189e-43,5.963623316594661063e+45,6.798367346938775313e+00
7.711485304960883667e-43,8.990256436487023222e-43,3.571149099365494884e-43,1.744108134787911309e-43,7.543120063354606750e+45,6.981836734693877666e+00
3.697556827113307237e-43,4.310710939544528666e-43,1.712319509252481310e-43,8.362771484321208534e-44,9.540954763499885144e+45,7.165306122448980020e+00
1.770995036031863085e-43,2.064673521640421201e-43,8.201386733937365285e-44,4.005462925572994184e-44,1.206792640639336259e+46,7.348775510204081485e+00
8.475126494432933006e-44,9.880529820578266712e-44,3.924787398366984602e-44,1.916821011483729113e-44,1.526417967175236564e+46,7.532244897959183838e+00
4.053043114859483187e-44,4.725146390058438018e-44,1.876943376914500082e-44,9.166775514342230785e-45,1.930697728883245658e+46,7.715714285714286191e+00
1.937249420094272682e-44,2.258497342513127003e-44,8.971302217700344623e-45,4.381480790122204041e-45,2.442053094548634828e+46,7.899183673469387656e+00
9.255691598687354173e-45,1.079053355852300348e-44,4.286263075077542034e-45,2.093361573285216035e-45,3.088843596477497513e+46,8.082653061224489122e+00
4.420693114858300954e-45,5.153762622619694228e-45,2.047200197028381548e-45,9.998290236078437481e-46,3.906939937054620993e+46,8.266122448979592363e+00
2.110866470514151391e-45,2.460904757335940637e-45,9.775313829889468519e-46,4.774150811525706442e-46,4.941713361323817927e+46,8.449591836734693828e+00
1.007729995121814249e-45,1.174838661633266249e-45,4.666745668526021283e-46,2.279184894550802390e-46,6.250551925274027155e+46,8.633061224489795293e+00
4.810160352250714400e-46,5.607813975802648906e-46,2.227560467332142210e-46,1.087914904616071336e-46,7.906043210907733748e+46,8.816530612244898535e+00
2.295734633448791309e-46,2.676429020950300113e-46,1.063142876424681457e-46,5.192267496038104930e-47,1.000000000000000044e+47,9.000000000000000000e+00
