#  0.01<z<2.5, 2.51<z<5.0, 5.01<z<7.5, 7.51<z<10.0, L_x, Z_list
1.162221663341268308e-34,6.103941509240975540e-35,2.424634422533032514e-35,1.184163557040514937e-35,1.000000000000000045e+42,1.000000000000000021e-02
9.517273108515230356e-35,5.002076912822661640e-35,1.986946933981300592e-35,9.704020231371545217e-36,1.123324032978031165e+42,1.008080808080808050e-01
7.802687362399740923e-35,4.104269975519904105e-35,1.630316123925600478e-35,7.962276384707024147e-36,1.261856883066028784e+42,1.916161616161616288e-01
6.404541215701187834e-35,3.371903337359013660e-35,1.339402235233955312e-35,6.541486421386669567e-36,1.417474162926796132e+42,2.824242424242424665e-01
5.263166662691768536e-35,2.773802602667792333e-35,1.101822037704342998e-35,5.381172069769316410e-36,1.592282793341087251e+42,3.732323232323232487e-01
4.330357952969275851e-35,2.284779359115045909e-35,9.075700796962858125e-36,4.432467855149627738e-36,1.788649529057435168e+42,4.640404040404040309e-01
3.567131929181880603e-35,1.884463222996514634e-35,7.485547480357554840e-36,3.655855269709260255e-36,2.009233002565054144e+42,5.548484848484849241e-01
2.941935922114255691e-35,1.556364915356363952e-35,6.182260990022150481e-36,3.019345141874763497e-36,2.257019719633935444e+42,6.456565656565657063e-01
2.429207545727926250e-35,1.287124126603827550e-35,5.112770918121823714e-36,2.497018495023841295e-36,2.535364493970095930e+42,7.364646464646464885e-01
2.008216578097624587e-35,1.065905277974933421e-35,4.234035703364765166e-36,2.067854325805957503e-36,2.848035868435793330e+42,8.272727272727272707e-01
1.662136623361412918e-35,8.839117312431948335e-36,3.511112953504548231e-36,1.714787171853045496e-36,3.199267137797384407e+42,9.180808080808080529e-01
1.377295148643545843e-35,7.339949256860454820e-36,2.915606842052219433e-36,1.423948838196116208e-36,3.593813663804640665e+42,1.008888888888888946e+00
1.142571615731865137e-35,6.103396444883806331e-36,2.424417909678017443e-36,1.184057814653064167e-36,4.037017258596582605e+42,1.099696969696969839e+00
9.489119162602331244e-36,5.082103782473813105e-36,2.018735558198940781e-36,9.859272214834142406e-37,4.534878508128554477e+42,1.190505050505050511e+00
