# Z_list, L_x, em_tot, avg_tot, n_tot, integral_results_z_tot
1.000000000000000021e-02 1.000000000000000088e+44 1.473305207567516717e+38 1.021445117443824715e+44 4.788092876942871700e-07 1.954066798342882506e-39
1.008080808080808050e-01 1.110336318167641160e+44 1.704198807314504787e+38 1.057957198284488839e+44 7.906207577542666546e-07 1.927629076233653809e-39
1.916161616161616288e-01 1.232846739442073565e+44 1.996171210284659712e+38 1.147570597572366949e+44 1.175893878257960352e-06 1.901535835514065056e-39
2.824242424242424665e-01 1.368874509537070747e+44 2.548103027953794170e+38 1.347473436603550922e+44 1.636217761367964295e-06 1.875777312756936522e-39
3.732323232323232487e-01 1.519911082952927021e+44 3.720476243012801567e+38 1.752464500953234985e+44 2.174088736501522996e-06 1.850342084109359238e-39
4.640404040404040309e-01 1.687612475788145362e+44 6.233853340172160106e+38 2.490081585706757626e+44 2.791674858816518536e-06 1.825216641873225775e-39
5.548484848484849241e-01 1.873817422860386716e+44 1.139250795357907768e+39 3.675303399554691058e+44 3.490405570185646067e-06 1.800384970807283859e-39
6.456565656565657063e-01 2.080567538217180235e+44 2.096223087457104374e+39 5.319796093608993573e+44 4.270838659046538100e-06 1.775828164588046813e-39
7.364646464646464885e-01 2.310129700083176817e+44 3.620453007293745409e+39 7.267690271344320076e+44 5.132626427509006700e-06 1.751524110360694288e-39
8.272727272727272707e-01 2.565020905680030149e+44 5.675715726946929612e+39 9.263082700428533556e+44 6.074524407293246353e-06 1.727447240120486211e-39
9.180808080808080529e-01 2.848035868435793207e+44 8.104896783912925871e+39 1.110948012086109463e+45 7.094422939477147730e-06 1.703568312558875492e-39
1.008888888888888946e+00 3.162277660168379421e+44 1.079119215687015533e+40 1.275727683338777254e+45 8.189393557880387541e-06 1.679854160814855617e-39
1.099696969696969839e+00 3.511191734215141658e+44 1.374413940123601028e+40 1.426925000680940203e+45 9.355746022346150527e-06 1.656267325053543436e-39
1.190505050505050511e+00 3.898603702549096006e+44 1.706879114876096506e+40 1.574470511887846603e+45 1.058909329163802872e-05 1.632765478851575362e-39
1.281313131313131404e+00 4.328761281083025852e+44 2.090152826302975102e+40 1.726727271006764987e+45 1.188442234164924115e-05 1.609300546166064919e-39
1.372121212121212075e+00 4.806380863064369172e+44 2.536527574686670791e+40 1.888589382003410286e+45 1.323616905907874791e-05 1.585817385015260074e-39
1.462929292929292968e+00 5.336699231206302102e+44 3.054914949870670673e+40 2.061676895958089173e+45 1.463829565797027022e-05 1.562251884139234428e-39
1.553737373737373861e+00 5.925530975545686760e+44 3.650459139114206258e+40 2.245377045718308750e+45 1.608436924225279839e-05 1.538528285692091475e-39
1.644545454545454533e+00 6.579332246575709569e+44 4.325070064536945117e+40 2.437918901311133098e+45 1.756764029547943791e-05 1.514555526153992099e-39
1.735353535353535426e+00 7.305271542664508133e+44 5.078274677037401311e+40 2.637132470652358658e+45 1.908112002766891807e-05 1.490222412314332097e-39
1.826161616161616097e+00 8.111308307896822896e+44 5.907979156783617680e+40 2.840879707509036459e+45 2.061765565107749010e-05 1.465391582081052259e-39
1.916969696969696990e+00 9.006280202112758082e+44 6.810989843173939047e+40 3.047264996892386829e+45 2.217000279219981707e-05 1.439892544492712904e-39
2.007777777777777661e+00 9.999999999999999298e+44 7.783303889445224022e+40 3.254710710277000620e+45 2.373089437593752201e-05 1.413514784097783278e-39
2.098585858585858333e+00 1.110336318167641279e+45 8.820227035452157758e+40 3.461944068871564869e+45 2.529310543907602212e-05 1.386003037181408314e-39
2.189393939393939448e+00 1.232846739442073525e+45 9.916379088493326448e+40 3.667931156963278479e+45 2.684951344344929330e-05 1.357058212766676250e-39
2.280202020202020119e+00 1.368874509537070827e+45 1.106564831760789074e+41 3.871794454534052765e+45 2.839315376399628396e-05 1.326348206987709318e-39
2.371010101010100790e+00 1.519911082952926863e+45 1.226114988743694392e+41 4.072742425598428336e+45 2.991727012308661334e-05 1.293531400229548839e-39
2.461818181818181461e+00 1.687612475788145402e+45 1.349522510572870999e+41 4.270024433781368834e+45 3.141535982984364547e-05 1.258290412181187230e-39
2.552626262626262577e+00 1.873817422860386874e+45 1.475949488415236171e+41 4.462910592623168558e+45 3.288121376177057870e-05 1.220365878888455546e-39
2.643434343434343248e+00 2.080567538217180077e+45 1.604496235944904832e+41 4.650689132724216823e+45 3.430895109588227865e-05 1.179575239973376981e-39
2.734242424242423919e+00 2.310129700083176976e+45 1.734215037055579212e+41 4.832672880169591167e+45 3.569304885800736015e-05 1.135806117410900516e-39
2.825050505050505034e+00 2.565020905680029990e+45 1.864125808081996727e+41 5.008208572768278181e+45 3.702836641223563436e-05 1.088986767218984690e-39
2.915858585858585705e+00 2.848035868435793127e+45 1.993232391215935662e+41 5.176685494386141360e+45 3.831016505805425127e-05 1.039047671377464627e-39
3.006666666666666377e+00 3.162277660168379500e+45 2.120538599597520292e+41 5.337542036743228133e+45 3.953412294091408622e-05 9.858906460633417400e-40
