# Z_list, L_x, em_tot, avg_tot, n_tot, integral_results_z_tot
1.000000000000000021e-02 9.999999999999999931e+45 6.879656591610592365e+34 1.670050768107304119e+46 4.119429614350837750e-12 1.629946106963804115e-41
3.200000000000000067e-01 1.219570460159436512e+46 1.932914065783840221e+36 1.670050768107306147e+46 1.157398387340308887e-10 2.618140544771167934e-41
6.300000000000000044e-01 1.487352107293499639e+46 2.291205172270535715e+37 1.670050768107302091e+46 1.371937438085908499e-09 2.377298535532372025e-41
9.399999999999999467e-01 1.813930693911070549e+46 1.532021091021584119e+38 1.670050768107305133e+46 9.173500113160318893e-09 1.189279174486815518e-41
1.250000000000000000e+00 2.212216291070450352e+46 6.795212294731276196e+38 1.670050768107306908e+46 4.068865704263823015e-08 5.948695608649864560e-42
1.560000000000000053e+00 2.697953640072991062e+46 2.209713662185766017e+39 1.670050768107312993e+46 1.323141610054201418e-07 2.975498104420119633e-42
1.869999999999999885e+00 3.290344562312644214e+46 5.629487568441881686e+39 1.670050768114105825e+46 3.370848165770999034e-07 1.488324424691149215e-42
2.179999999999999716e+00 4.012807031942796903e+46 1.176874209877115437e+40 1.670051213241462088e+46 7.046934851733548035e-07 7.444500098459336985e-43
2.489999999999999769e+00 4.893900918477498796e+46 2.088581453879290216e+40 1.672469417865284266e+46 1.248800983485321587e-06 3.723689593246110717e-43
2.799999999999999822e+00 5.968456995122291862e+46 2.966675465118532016e+40 1.767179515465366946e+46 1.678762932206857013e-06 1.862564846996096918e-43
3.109999999999999876e+00 7.278953843983101266e+46 3.518686718072252962e+40 1.909272806110973354e+46 1.842946019453091827e-06 9.316425879208104363e-44
3.419999999999999929e+00 8.877197088985915260e+46 4.115487827730213937e+40 2.101281617544244959e+46 1.958560810397208593e-06 4.660014458168041712e-44
3.729999999999999538e+00 1.082636733874056265e+47 4.334971276274568817e+40 2.137835928660226636e+46 2.027738058921705116e-06 2.330908336726044310e-44
4.040000000000000036e+00 1.320351779716292100e+47 4.420510257423549345e+40 2.155048380667300107e+46 2.051234810818846030e-06 1.165904896431339931e-44
4.349999999999999645e+00 1.610262027560929416e+47 4.350903930824387015e+40 2.140827659721362936e+46 2.032346653906122541e-06 5.831778994071796306e-45
4.660000000000000142e+00 1.963828001929781763e+47 4.172110108449074780e+40 2.111135076905401498e+46 1.976240248238755420e-06 2.917017188948562173e-45
4.969999999999999751e+00 2.395026619987490903e+47 3.810850288076377600e+40 2.017142261403908395e+46 1.889232287178430635e-06 1.459072658492635619e-45
5.279999999999999361e+00 2.920903717032244152e+47 3.204547366674668411e+40 1.802452174359568992e+46 1.777882049943033495e-06 7.298184703286331948e-46
5.589999999999999858e+00 3.562247890262422426e+47 2.877188801975340504e+40 1.756896054048693960e+46 1.637654541567771437e-06 3.650503602631346262e-46
5.899999999999999467e+00 4.344412298729395488e+47 2.212256539708457903e+40 1.675597765634634553e+46 1.320278998385130561e-06 1.825957699703457943e-46
6.209999999999999964e+00 5.298316906283723992e+47 1.558735159268971743e+40 1.670081238329245294e+46 9.333289444220901640e-07 9.133319355453425607e-47
6.519999999999999574e+00 6.461670787466962421e+47 1.056026966295638179e+40 1.670050855360137597e+46 6.323322208460002598e-07 4.568425788957080131e-47
6.830000000000000071e+00 7.880462815669871795e+47 6.894964463236390307e+39 1.670050768250593765e+46 4.128595725541314836e-07 2.285096291606891286e-47
7.139999999999999680e+00 9.610779662375992122e+47 4.348780921023759197e+39 1.670050768107448378e+46 2.603981270552587992e-07 1.142990015190184794e-47
7.449999999999999289e+00 1.172102297533484085e+48 2.655216756848908894e+39 1.670050768107306147e+46 1.589901820684233692e-07 5.717160277328374226e-48
7.759999999999999787e+00 1.429461338356844008e+48 1.572374292962011543e+39 1.670050768107306401e+46 9.415128707398559095e-08 2.859685666739861654e-48
8.070000000000000284e+00 1.743328822199980137e+48 9.046535539118903134e+38 1.670050768107302852e+46 5.416922474381719703e-08 1.430395811183890403e-48
8.379999999999999005e+00 2.126112333899672833e+48 5.064733200153825504e+38 1.670050768107309697e+46 3.032682177616524423e-08 7.154745014282787958e-49
8.689999999999999503e+00 2.592943797404677533e+48 2.763093263580128821e+38 1.670050768107313500e+46 1.654496567617265969e-08 3.578756021177015915e-49
9.000000000000000000e+00 3.162277660168379267e+48 1.470830250075823236e+38 1.670050768107304880e+46 8.807099030544673967e-09 1.790070035136620599e-49
