# Z_list, L_x, em_tot, avg_tot, n_tot, integral_results_z_tot
1.000000000000000021e-02 3.162277660168379421e+44 4.409439743809817563e+37 4.436975889503423862e+44 9.937939383987303292e-08 8.769576673520435366e-42
3.200000000000000067e-01 4.344412298729395259e+44 2.539114374217244177e+37 4.436975889503423862e+44 5.722623781265162696e-08 3.828059060035646722e-42
6.300000000000000044e-01 5.968456995122291925e+44 1.643554202993940930e+37 4.436975889503422277e+44 3.704221622844752992e-08 1.671008386456010371e-42
9.399999999999999467e-01 8.199608244604975421e+44 1.147823906602579169e+37 4.436975889503438123e+44 2.586950966576104586e-08 7.294216164941301038e-43
1.250000000000000000e+00 1.126481692335879856e+45 8.455290215934492842e+36 4.436975889503408808e+44 1.905642587767322446e-08 3.184040839779101916e-43
1.560000000000000053e+00 1.547587354557890880e+45 6.479532437569471196e+36 4.436975889503413562e+44 1.460348804891671537e-08 1.389884237062825142e-43
1.869999999999999885e+00 2.126112333899673130e+45 5.119021692765912620e+36 4.436975889503407224e+44 1.153718618322003327e-08 6.067064744589564792e-44
2.179999999999999716e+00 2.920903717032243848e+45 4.143231254576034676e+36 4.436975889503415939e+44 9.337962066410379214e-09 2.648369816239554517e-44
2.489999999999999769e+00 4.012807031942796396e+45 3.420124416300576560e+36 4.436975889503429408e+44 7.708233043121956093e-09 1.156055354415525497e-44
2.799999999999999822e+00 5.512889788770649973e+45 2.869708968290792514e+36 4.436975889503411185e+44 6.467713685530015531e-09 5.046364651484044788e-45
3.109999999999999876e+00 7.573739175895024524e+45 2.441255306450113148e+36 4.436975889503443669e+44 5.502070255160484830e-09 2.202818065629875362e-45
3.419999999999999929e+00 1.040498310365777843e+46 2.101345554920601409e+36 4.436975889503419900e+44 4.735985967135334094e-09 9.615649611921215898e-46
3.729999999999999538e+00 1.429461338356843998e+46 1.827247880258528473e+36 4.436975889503444461e+44 4.118228103473019513e-09 4.197383292877547956e-46
4.040000000000000036e+00 1.963828001929781813e+46 1.603068682124124436e+36 4.436975889503421485e+44 3.612975869254807125e-09 1.832224261321378289e-46
4.349999999999999645e+00 2.697953640072991062e+46 1.417427941507623367e+36 4.436975889503423069e+44 3.194581121932260379e-09 7.997948982813448424e-47
4.660000000000000142e+00 3.706512910922167818e+46 1.262006097836042376e+36 4.436975889503410393e+44 2.844293341376004090e-09 3.491231356447139510e-47
4.969999999999999751e+00 5.092095636773366466e+46 1.130608326304948082e+36 4.436975889503403262e+44 2.548150709990647269e-09 1.523977761102524334e-47
5.279999999999999361e+00 6.995642156712634272e+46 1.018546037150547401e+36 4.436975889503430200e+44 2.295586143616703816e-09 6.652404207031617217e-48
5.589999999999999858e+00 9.610779662375990905e+46 9.222184711649190490e+35 4.436975889503400885e+44 2.078484296808149659e-09 2.903879758830336850e-48
5.899999999999999467e+00 1.320351779716292100e+47 8.388237389782639869e+35 4.436975889503415939e+44 1.890530306830548730e-09 1.267589489651229265e-48
6.209999999999999964e+00 1.813930693911070650e+47 7.661555121835877873e+35 4.436975889503434954e+44 1.726751578695939906e-09 5.533228810139840119e-49
6.519999999999999574e+00 2.492021151378044151e+47 7.024575543070248550e+35 4.436975889503434161e+44 1.583189928908179585e-09 2.415341979033515106e-49
6.830000000000000071e+00 3.423597957607587049e+47 6.463180363435426576e+35 4.436975889503434161e+44 1.456663395157361537e-09 1.054335014122404660e-49
7.139999999999999680e+00 4.703420341698596534e+47 5.965916799210102432e+35 4.436975889503410393e+44 1.344590763570232582e-09 4.602339261496003454e-50
7.449999999999999289e+00 6.461670787466962421e+47 5.523416648546847521e+35 4.436975889503447630e+44 1.244860640693043286e-09 2.008993952983483710e-50
7.759999999999999787e+00 8.877197088985914854e+47 5.127957726538006037e+35 4.436975889503423862e+44 1.155732610282882476e-09 8.769576673520312227e-51
8.070000000000000284e+00 1.219570460159436441e+48 4.773129173041847607e+35 4.436975889503423862e+44 1.075761800809795520e-09 3.828059060035758118e-51
8.379999999999999005e+00 1.675474918923345929e+48 4.453573461469451416e+35 4.436975889503394547e+44 1.003740739724396942e-09 1.671008386455986739e-51
8.689999999999999503e+00 2.301807313022451341e+48 4.164785674426904661e+35 4.436975889503423862e+44 9.386541144565511147e-10 7.294216164941498724e-52
9.000000000000000000e+00 3.162277660168379267e+48 3.902955977919233284e+35 4.436975889503439707e+44 8.796432694512633353e-10 3.184040839779059150e-52
