# Z_list, L_x, em_tot, avg_tot, n_tot, integral_results_z_tot
1.000000000000000021e-02 1.000000000000000045e+42 1.682111710375569613e+39 1.083903485462868484e+42 1.551901744883902885e-03 2.133495227426301595e-34
3.200000000000000067e-01 1.487352107293499749e+42 4.840231807220981332e+39 1.097330939928354111e+42 4.410913454729532487e-03 1.085230699209074163e-34
6.300000000000000044e-01 2.212216291070450148e+42 5.916425638294502103e+39 1.309712479016449773e+42 4.517346923912292367e-03 5.600381680440377123e-35
9.399999999999999467e-01 3.290344562312644123e+42 6.823150210032810953e+39 1.801897456251162375e+42 3.786647340203441129e-03 2.932865360277255145e-35
1.250000000000000000e+00 4.893900918477499144e+42 7.387300165428344887e+39 2.347630609284126044e+42 3.146704654562750524e-03 1.558475793614331237e-35
1.560000000000000053e+00 7.278953843983101084e+42 7.772903950836558052e+39 2.940715831183126552e+42 2.643201314596016743e-03 8.397932318549031713e-36
1.869999999999999885e+00 1.082636733874056309e+43 7.982898580777233158e+39 3.546430706147453476e+42 2.250967026351175567e-03 4.582870915243644305e-36
2.179999999999999716e+00 1.610262027560929269e+43 6.963611518277384520e+39 3.605339644347065880e+42 1.931471707303878370e-03 2.527114604582333010e-36
2.489999999999999769e+00 2.395026619987490933e+43 6.056714109916072934e+39 3.605339644347067118e+42 1.679928857580061238e-03 1.403328085068451124e-36
2.799999999999999822e+00 3.562247890262422206e+43 5.330891213095769014e+39 3.605339644347065880e+42 1.478609989340187118e-03 7.810273828678423450e-37
3.109999999999999876e+00 5.298316906283723320e+43 4.739281246721342777e+39 3.605339644347068975e+42 1.314517275550506964e-03 4.329526718380175549e-37
3.419999999999999929e+00 7.880462815669871838e+43 4.249538917811375604e+39 3.605339644347064024e+42 1.178679219438971302e-03 2.372719715028397221e-37
3.729999999999999538e+00 1.172102297533484165e+44 3.838694087976540284e+39 3.605339644347068975e+42 1.064724676909526444e-03 1.275365300801384933e-37
4.040000000000000036e+00 1.743328822199980196e+44 3.490032010145119567e+39 3.605339644347065261e+42 9.680175391012771271e-04 6.675640861617214074e-38
4.349999999999999645e+00 2.592943797404677679e+44 3.191130331399922382e+39 3.605339644347073308e+42 8.851122629745570257e-04 3.386044478817521004e-38
4.660000000000000142e+00 3.856620421163456862e+44 2.932584725226305822e+39 3.605339644347081974e+42 8.134004045428540070e-04 1.661679687582149356e-38
4.969999999999999751e+00 5.736152510448705247e+44 2.707158714762239931e+39 3.605339644347072070e+42 7.508748084266848692e-04 5.568050257641439086e-39
5.279999999999999361e+00 8.531678524172779644e+44 2.509202718212634081e+39 3.605339644347055977e+42 6.959684705841528507e-04 1.750683895151525740e-39
5.589999999999999858e+00 1.268961003167928588e+45 2.334248524999619993e+39 3.605339644347078260e+42 6.474420596294052808e-04 5.359305390488526919e-40
5.899999999999999467e+00 1.887391822135091897e+45 2.178720796234261961e+39 3.605339644347047930e+42 6.043038967633362684e-04 1.607826998450345133e-40
6.209999999999999964e+00 2.807216203941193002e+45 2.039728282869807290e+39 3.605339644347091258e+42 5.657520467088175730e-04 4.753434018314575573e-41
6.519999999999999574e+00 4.175318936560391751e+45 1.914910383320509709e+39 3.605339644347060310e+42 5.311317579532251476e-04 1.390898674249553714e-41
6.830000000000000071e+00 6.210169418915654395e+45 1.802322779842352765e+39 3.605339644347084450e+42 4.999037421254516958e-04 4.041058147355785137e-42
7.139999999999999680e+00 9.236708571873846838e+45 1.700351103548972304e+39 3.605339644347074546e+42 4.716202275741222675e-04 1.168413905324452547e-42
7.449999999999999289e+00 1.373823795883272125e+46 1.607644990299413690e+39 3.605339644347080117e+42 4.459066686879524315e-04 3.367342939708425525e-43
7.759999999999999787e+00 2.043359717856939532e+46 1.523067165663820535e+39 3.605339644347068356e+42 4.224476237771073893e-04 9.683568219539945125e-44
8.070000000000000284e+00 3.039195382313219770e+46 1.445653740849433102e+39 3.605339644347062167e+42 4.009757424979707428e-04 2.780716237000949575e-44
8.379999999999999005e+00 4.520353656360240691e+46 1.374582964723465169e+39 3.605339644347065880e+42 3.812630987149075710e-04 7.977417953750938967e-45
8.689999999999999503e+00 6.723357536499390108e+46 1.309150419910974155e+39 3.605339644347103638e+42 3.631143107317563452e-04 2.287141493602417378e-45
9.000000000000000000e+00 1.000000000000000044e+47 1.248749176807849640e+39 3.605339644347064024e+42 3.463610366823016186e-04 6.554536770273043094e-46
