# Z_list, L_x, em_tot, avg_tot, n_tot, integral_results_z_tot
1.000000000000000021e-02 1.000000000000000045e+42 2.092299173516266183e+40 1.083903485462868484e+42 1.551901512944007643e-03 2.133495612222717066e-34
1.934693877551020569e-01 1.264855216855290642e+42 4.079279135220349851e+40 1.083903485462863377e+42 3.025685591143399602e-03 1.427580148607932589e-34
3.769387755102041049e-01 1.599858719606070376e+42 5.121526029603091287e+40 1.122739757191333961e+42 4.689019916465438260e-03 9.600129469431588391e-35
5.604081632653061806e-01 2.023589647725163745e+42 4.721261849573804490e+40 1.243836937317472048e+42 4.657097201353987102e-03 6.488750720887639999e-35
7.438775510204082009e-01 2.559547922699533325e+42 4.682893822035858498e+40 1.448230813938044699e+42 4.252123306081159564e-03 4.408364192781725793e-35
9.273469387755102211e-01 3.237457542817626676e+42 4.973809305953863682e+40 1.773827582730343472e+42 3.815665089770476845e-03 3.010463834710863238e-35
1.110816326530612352e+00 4.094915062380452278e+42 5.139750882879053166e+40 2.094327542873494366e+42 3.416456783726520320e-03 2.066397737530780434e-35
1.294285714285714262e+00 5.179474679231223017e+42 5.269247799274319719e+40 2.427117135746053968e+42 3.066840984093784691e-03 1.425532857955916511e-35
1.477755102040816393e+00 6.551285568595495677e+42 5.389940600351610855e+40 2.781737246872365889e+42 2.764712719700560331e-03 9.882101595623206459e-36
1.661224489795918524e+00 8.286427728546792018e+42 5.476352059343239241e+40 3.142305064691740391e+42 2.504326039158210390e-03 6.882047428233943410e-36
1.844693877551020433e+00 1.048113134154691668e+43 5.522181548174925524e+40 3.498840810076993296e+42 2.279508214432207636e-03 4.813093081951992613e-36
2.028163265306122121e+00 1.325711365590110934e+43 5.182118781305699292e+40 3.605339644347075784e+42 2.078547837795473221e-03 3.378765995219288451e-36
2.211632653061224474e+00 1.676832936811003040e+43 4.744467721247007718e+40 3.605339644347072070e+42 1.903005998060834864e-03 2.379289368077330478e-36
2.395102040816326383e+00 2.120950887920175204e+43 4.365128631109838274e+40 3.605339644347065261e+42 1.750853089401092346e-03 1.679388092832238774e-36
2.578571428571428292e+00 2.682695795279738348e+43 4.033775818744094474e+40 3.605339644347041122e+42 1.617947476705617693e-03 1.187008756849308191e-36
2.762040816326530646e+00 3.393221771895329561e+43 3.742321018331207343e+40 3.605339644347067118e+42 1.501044956562934971e-03 8.391917411458279019e-37
2.945510204081632555e+00 4.291934260128760617e+43 3.484348107021789660e+40 3.605339644347073308e+42 1.397572022104845435e-03 5.926523100672105420e-37
3.128979591836734464e+00 5.428675439323904062e+43 3.254709181086088305e+40 3.605339644347044216e+42 1.305463849150734516e-03 4.174713892888616220e-37
3.312448979591836817e+00 6.866488450043026347e+43 3.049231084992724204e+40 3.605339644347074546e+42 1.223046585021243674e-03 2.928490087806416312e-37
3.495918367346938727e+00 8.685113737513520549e+43 2.864498952579081489e+40 3.605339644347068975e+42 1.148950526902154431e-03 2.042337169901543752e-37
3.679387755102040636e+00 1.098541141987552849e+44 2.697694348087849002e+40 3.605339644347069594e+42 1.082045200214088376e-03 1.413730791000334539e-37
3.862857142857142989e+00 1.389495494373147283e+44 2.546472710425846052e+40 3.605339644347073308e+42 1.021390201505036890e-03 9.698634304398833170e-38
4.046326530612244454e+00 1.757510624854796602e+44 2.408869485750697103e+40 3.605339644347070213e+42 9.661975482308527699e-04 6.585944543691837953e-38
