# 44<log(Lx)<46.5, 46.5<log(Lx)<47.5, 47.5<log(Lx)<48.5, 44<log(Lx)<48.5, L_x, Z_list
3.727394435469452816e+00,1.840180448353764993e-06,3.426576356195401682e-09,3.352260306621182906e+01,1.000000000000000088e+44,1.000000000000000021e-02
5.074845212303396693e+03,1.138807836410690548e-02,2.120559530912877920e-05,1.854353916795164332e+04,1.304321386718998659e+44,2.405128205128205243e-01
3.042185356169008810e+04,2.697298021957688641e-01,5.022605833285597506e-04,6.031892264439818973e+04,1.701254279852599697e+44,4.710256410256410398e-01
8.761523938278209243e+04,2.510341793987196368e+00,4.674484161072247138e-03,1.131232691529976146e+05,2.218982341458974420e+44,7.015384615384615552e-01
1.805486273898584768e+05,1.399241719920819982e+01,2.605529570013431079e-02,1.797011166785997630e+05,2.894266124716739773e+44,9.320512820512820706e-01
3.063930312671955908e+05,5.534644849641931330e+01,1.030623421273501317e-01,2.823194764131744741e+05,3.775053205324422720e+44,1.162564102564102475e+00
4.580536755320070079e+05,1.703360591640400230e+02,3.172003504257726036e-01,4.429138770749612595e+05,4.923882631706751978e+44,1.393076923076923102e+00
6.264114759492920712e+05,4.319239886505263257e+02,8.043946713686990213e-01,6.457387126101867761e+05,6.422325422229342844e+44,1.623589743589743728e+00
8.019292070758072659e+05,9.378552411639612956e+02,1.746871764461624510e+00,8.510275454244586872e+05,8.376776400682855204e+44,1.854102564102564132e+00
9.756877560086266603e+05,1.792231060742425598e+03,3.339046093232159063e+00,1.037681169193609152e+06,1.092600861117382362e+45,2.084615384615384315e+00
1.140002003032874316e+06,3.076025283586180649e+03,5.732850565461861336e+00,1.203747888214614475e+06,1.425102670302996237e+45,2.315128205128204719e+00
1.288738306847806787e+06,4.815627309990406502e+03,8.979231788468416298e+00,1.350562293967242353e+06,1.858791891146552063e+45,2.545641025641025568e+00
1.417418275601892499e+06,6.960819639584477954e+03,1.298680271109933315e+01,1.477451223988861311e+06,2.424462017082340736e+45,2.776153846153845972e+00
1.523169012171773938e+06,9.380862939299613572e+03,1.751371835250601805e+01,1.582596028947609011e+06,3.162277660168379500e+45,3.006666666666666377e+00
1.604567413470432395e+06,1.188102050784401035e+04,2.219738737111098459e+01,1.664390673613669351e+06,4.124626382901330845e+45,3.237179487179487225e+00
1.661419656976650935e+06,1.423494484757246755e+04,2.661405635739431830e+01,1.722102314643277088e+06,5.379838403443720160e+45,3.467692307692307629e+00
1.694511769937977195e+06,1.622373464547307412e+04,3.035166295510163081e+01,1.756005210656148382e+06,7.017038286703836210e+45,3.698205128205128034e+00
1.705360551249426557e+06,1.767153178301103981e+04,3.307719297976562700e+01,1.767251974604928168e+06,9.152473108773854618e+45,3.928717948717948438e+00
1.695985823632690590e+06,1.846988898674678785e+04,3.458366055333853240e+01,1.757656672225067858e+06,1.193776641714445551e+46,4.159230769230768843e+00
1.668716187478668522e+06,1.858728247551656386e+04,3.480927274912813374e+01,1.729477305912733078e+06,1.557068404753734755e+46,4.389743589743589247e+00
1.626032624787241686e+06,1.806434573903358978e+04,3.382927946314952550e+01,1.685229382305897539e+06,2.030917620904730511e+46,4.620256410256409652e+00
1.570448521903210552e+06,1.699843296934831960e+04,3.182704269893135773e+01,1.627536432148026070e+06,2.648969287610507857e+46,4.850769230769230944e+00
1.504421281102813780e+06,1.552250474746035252e+04,2.905384078389054636e+01,1.559014692132225726e+06,3.455107294592232453e+46,5.081282051282051349e+00
1.430289397600515280e+06,1.378321353489331887e+04,2.578692622764969045e+01,1.482187124976710882e+06,4.506570337745468516e+46,5.311794871794871753e+00
1.350229079867844936e+06,1.192194717469984425e+04,2.229325148102102006e+01,1.399421495813475689e+06,5.878016072274876210e+46,5.542307692307692157e+00
1.266225512218649266e+06,1.006103612652933225e+04,1.880320925540248567e+01,1.312886790555279236e+06,7.666822074546254021e+46,5.772820512820512562e+00
1.180055135923015419e+06,8.295816762063546776e+03,1.549570864377516877e+01,1.224521899021407822e+06,1.000000000000000044e+47,6.003333333333332966e+00
1.093276482376976637e+06,6.692066954278179765e+03,1.249357371786287629e+01,1.136010848890770460e+06,1.304321386718998700e+47,6.233846153846153371e+00
1.007227942212367547e+06,5.287613311431240618e+03,9.866865070105951929e+00,1.048760519511771156e+06,1.701254279852599566e+47,6.464358974358974663e+00
9.230313611580946017e+05,4.096635657201661161e+03,7.641237379869163071e+00,9.638793944081040099e+05,2.218982341458974224e+47,6.694871794871795068e+00
