# 46<log(Lx)<46.75, 46.75<log(Lx)<47.5, 47.5<log(Lx)<48.5, 46<log(Lx)<48.5, L_x, Z_list
3.163347971702735963e-05,4.291874038130685636e-07,5.883990584863178212e-09,3.206855111142529281e-05,9.999999999999999931e+45,1.000000000000000021e-02
8.801631658950669068e-03,1.194161842078533538e-04,1.637148940804731313e-06,8.922684992099326473e-03,1.059869818882503700e+46,1.008080808080808050e-01
7.816813944658262958e-02,1.060546646467043844e-03,1.453967760278967501e-05,7.924322577065245898e-02,1.123324032978031187e+46,1.916161616161616288e-01
3.806205185002916602e-01,5.164070903182776603e-03,7.079738199196492171e-05,3.858553867854663810e-01,1.190577239378789312e+46,2.824242424242424665e-01
1.375841444096621569e+00,1.866673608886618152e-02,2.559136135431715913e-04,1.394764093799030880e+00,1.261856883066028646e+46,3.732323232323232487e-01
4.106995326286004833e+00,5.572168086877591492e-02,7.639223394995772092e-04,4.163480929494280502e+00,1.337404026110810653e+46,4.640404040404040309e-01
1.066981438167901430e+01,1.447627632054403757e-01,1.984640574658108180e-03,1.081656178545911295e+01,1.417474162926796171e+46,5.548484848484849241e-01
2.488278341074846978e+01,3.375972958786975786e-01,4.628326210828640451e-03,2.522500903283799545e+01,1.502338084331851821e+46,6.456565656565657063e-01
5.316024479775798994e+01,7.212519032022838283e-01,9.888080055595686521e-03,5.389138478101587282e+01,1.592282793341087305e+46,7.364646464646464885e-01
1.055540493042277319e+02,1.432105123688083737e+00,1.963359825906078188e-02,1.070057880261748835e+02,1.687612475788145338e+46,8.272727272727272707e-01
1.968886700146913995e+02,2.671288074524672762e+00,3.662230936956001326e-02,1.995965803985856439e+02,1.788649529057435212e+46,9.180808080808080529e-01
3.478762346031745096e+02,4.719812657765763753e+00,6.470677609333470859e-02,3.526607540370335983e+02,1.895735652406379349e+46,1.008888888888888946e+00
5.860687415093403843e+02,7.951490758349750720e+00,1.090118124206045092e-01,5.941292440801107659e+02,2.009233002565054211e+46,1.099696969696969839e+00
9.464908018857752268e+02,1.284151897382468555e+01,1.760521768952840738e-01,9.595083730364951862e+02,2.129525418521372843e+46,1.190505050505050511e+00
1.471801480103122685e+03,1.996867438626034996e+01,2.737626757847005377e-01,1.492043917165167613e+03,2.257019719633935462e+46,1.281313131313131404e+00
2.211859312451229471e+03,3.000941295116908591e+01,4.114172543117227687e-01,2.242280142656710268e+03,2.392147081462619135e+46,1.372121212121212075e+00
3.222608549679907355e+03,4.372275858727086728e+01,5.994218320158306579e-01,3.266930730099194079e+03,2.535364493970095927e+46,1.462929292929292968e+00
4.564262649428953409e+03,6.192565770040577178e+01,8.489764229645252458e-01,4.627037283552323970e+03,2.687156307025216230e+46,1.553737373737373861e+00
