# 44.5<log(Lx)<45.5, 45.5<log(Lx)<46.5, 47.5<log(Lx)<48.5, 44.5<log(Lx)<48.5, L_x, Z_list
7.550929264512332706e-01,1.853533338730545266e-02,1.116864281360499357e-05,4.192993481220360863e+00,3.162277660168379421e+44,1.000000000000000021e-02
2.278025146231662461e+02,5.591888636609554375e+00,3.369446102249351246e-03,1.264976038525015156e+03,4.004645731836122639e+44,2.405128205128205243e-01
4.781183684342892661e+02,1.173641421748431668e+01,7.071888892884565028e-03,2.654967530312531380e+03,5.071403956558120795e+44,4.710256410256410398e-01
6.050710720785601779e+02,1.485273355254342853e+01,8.949656981493300106e-03,3.359929582209204000e+03,6.422325422229342844e+44,7.015384615384615552e-01
6.334791377216934052e+02,1.555006887265902193e+01,9.369843063337187153e-03,3.517678158421610533e+03,8.133105582266901859e+44,9.320512820512820706e-01
6.062271928123469706e+02,1.488111295127175637e+01,8.966757260244085509e-03,3.366349463167497106e+03,1.029960365809985665e+45,1.162564102564102475e+00
5.536816855431578688e+02,1.359127369954308051e+01,8.189552254619973659e-03,3.074566873595919333e+03,1.304321386718998738e+45,1.393076923076923102e+00
4.931878581237309049e+02,1.210632632443927470e+01,7.294782978935220735e-03,2.738647657379945940e+03,1.651766743970448187e+45,1.623589743589743728e+00
4.335328876746529545e+02,1.064197044617648658e+01,6.412421307063661570e-03,2.407386572216636523e+03,2.091764655756982363e+45,1.854102564102564132e+00
3.786472728614270409e+02,9.294688365927669338e+00,5.600603574463526232e-03,2.102609481791197595e+03,2.648969287610507857e+45,2.084615384615384315e+00
3.299118751314156270e+02,8.098376212754516246e+00,4.879754218631794996e-03,1.831984241071480938e+03,3.354602185954015955e+45,2.315128205128204719e+00
2.874532522234739531e+02,7.056140610756195919e+00,4.251745165699718186e-03,1.596213618889544932e+03,4.248201698162642846e+45,2.545641025641025568e+00
2.508329423709151058e+02,6.157218599853948149e+00,3.710091090897334794e-03,1.392862858853033231e+03,5.379838403443720160e+45,2.776153846153845972e+00
2.194002083401346965e+02,5.385636475156832859e+00,3.245166885217462983e-03,1.218318449455088967e+03,6.812920690579650538e+45,3.006666666666666377e+00
1.924648462110770311e+02,4.724451739502795178e+00,2.846763684583079879e-03,1.068747722641054224e+03,8.627747685955911210e+45,3.237179487179487225e+00
1.693761377994900386e+02,4.157691155607039057e+00,2.505256661747595065e-03,9.405372726841570739e+02,1.092600861117382425e+46,3.467692307692307629e+00
1.495540062853771985e+02,3.671115526051305977e+00,2.212065851808623241e-03,8.304659618414171973e+02,1.383648068032463648e+46,3.698205128205128034e+00
1.324966363757064016e+02,3.252406746097232126e+00,1.959768862673801505e-03,7.357472347383218221e+02,1.752224480412787225e+46,3.928717948717948438e+00
1.177771691246138630e+02,2.891086671143340059e+00,1.742051987869224026e-03,6.540107648697307923e+02,2.218982341458974325e+46,4.159230769230768843e+00
1.050359137165661139e+02,2.578325938671783835e+00,1.553595010370851593e-03,5.832592070189786000e+02,2.810075242497918182e+46,4.389743589743589247e+00
9.397127576784043868e+01,2.306721284456148435e+00,1.389937022350808430e-03,5.218178225669878429e+02,3.558623573050965911e+46,4.620256410256409652e+00
8.433091100613867752e+01,2.070078391146091157e+00,1.247345578510464974e-03,4.682853563149475349e+02,4.506570337745468516e+46,4.850769230769230944e+00
7.590374386762476888e+01,1.863215968057315486e+00,1.122698642479751357e-03,4.214897161504860605e+02,5.707031326057155669e+46,5.081282051282051349e+00
6.851305460134834391e+01,1.681796059707452384e+00,1.013382337598810190e-03,3.804495860821729138e+02,7.227271320676158641e+46,5.311794871794871753e+00
6.201062979285659793e+01,1.522180458197691211e+00,9.172044268220757527e-04,3.443419443879654978e+02,9.152473108773855886e+46,5.542307692307692157e+00
5.627188029180460660e+01,1.381310862546532681e+00,8.323221015760536978e-04,3.124749537099365853e+02,1.159051048314476930e+47,5.772820512820512562e+00
5.119179923335299520e+01,1.256609659880696395e+00,7.571821965147503431e-04,2.842655161480342940e+02,1.467799267622061501e+47,6.003333333333332966e+00
4.668163049136919085e+01,1.145898145658780232e+00,6.904719123315280430e-04,2.592207733463515638e+02,1.858791891146552190e+47,6.233846153846153371e+00
4.266612846702551565e+01,1.047329259457703943e+00,6.310782850623983600e-04,2.369228902354211925e+02,2.353937197549971132e+47,6.464358974358974663e+00
3.908130540596050650e+01,9.593322881662110779e-01,5.780548664651983561e-04,2.170165459964188130e+02,2.980979396564751858e+47,6.694871794871795068e+00
3.587257842269516317e+01,8.805673808280038983e-01,5.305943165023025657e-04,1.991986445798622185e+02,3.775053205324422707e+47,6.925384615384615472e+00
3.299324325643232925e+01,8.098880837892931117e-01,4.880058285346325180e-04,1.832098395474413906e+02,4.780652533007414878e+47,7.155897435897435876e+00
