# 41<log(Lx)<43, 43<log(Lx)<45, 45<log(Lx)<47, 41<log(Lx)<47, L_x, Z_list
7.955122907910459617e+04,1.436610996023113103e+03,8.236720857925861061e-02,8.098792244233629026e+04,1.000000000000000006e+41,1.000000000000000021e-02
1.811452926140796393e+07,3.271292251040353440e+05,1.875575308215310244e+01,1.844167724226507917e+07,1.263848202934291993e+41,1.623728813559322248e-01
5.801976733857878298e+07,1.047775587004704983e+06,6.007356936427348160e+01,5.906760299915285408e+07,1.597312280060265464e+41,3.147457627118644408e-01
1.080325423718615919e+08,1.950953367991592502e+06,1.118567123839452933e+02,1.099836075965655744e+08,2.018760254679042828e+41,4.671186440677966845e-01
1.599538142675153911e+08,2.888596582260850817e+06,1.656159098399289746e+02,1.628425764656860828e+08,2.551406520031282146e+41,6.194915254237288726e-01
2.088377041732863188e+08,3.771387892715421971e+06,2.162302071002564503e+02,2.126093082962088287e+08,3.224590545296371657e+41,7.718644067796610608e-01
2.521699556263283789e+08,4.553922488855658099e+06,2.610963472587241654e+02,2.567241392115313113e+08,4.075392965871794519e+41,9.242372881355933600e-01
2.890244290662664771e+08,5.219475270495366305e+06,2.992554069746662435e+02,2.942442035921688080e+08,5.150678076168121793e+41,1.076610169491525548e+00
3.194030817783839107e+08,5.768081584135118872e+06,3.307094128179674044e+02,3.251714940719318390e+08,6.509675230458136902e+41,1.228983050847457736e+00
3.437888866865711808e+08,6.208463409576658159e+06,3.559584341404219003e+02,3.499977060545819998e+08,8.227241341700525073e+41,1.381355932203389925e+00
3.628708197509807348e+08,6.553062923412581906e+06,3.757158354905480451e+02,3.694242583902288079e+08,1.039798418481492062e+42,1.533728813559322113e+00
3.773876352162763476e+08,6.815221245365636423e+06,3.907465217687902168e+02,3.842032472081637383e+08,1.314147362611752757e+42,1.686101694915254301e+00
3.880464534383395910e+08,7.007708220610232092e+06,4.017826442004360956e+02,3.950545634415940642e+08,1.660882782627703117e+42,1.838474576271186711e+00
3.954855153106167316e+08,7.142049804134760983e+06,4.094850363314072297e+02,4.026279745997878313e+08,2.099103720108563142e+42,1.990847457627118899e+00
4.002615825948120356e+08,7.228300524050116539e+06,4.144301683518657455e+02,4.074902975490304828e+08,2.652948464431894454e+42,2.143220338983050866e+00
4.028502422446492910e+08,7.275048977354545146e+06,4.171104621925399556e+02,4.101257083324660063e+08,3.352924149249539124e+42,2.295593220338982832e+00
4.036523516921257377e+08,7.289534224981715903e+06,4.179409649632511332e+02,4.109423038580724001e+08,4.237587160604089402e+42,2.447966101694915242e+00
4.030028850759024620e+08,7.277805545321919024e+06,4.172685083228836334e+02,4.102811078897327185e+08,5.355666917706907348e+42,2.600338983050847652e+00
4.011802102815964818e+08,7.244889967750271782e+06,4.153813139112755266e+02,4.084255156306606531e+08,6.768750009458514263e+42,2.752711864406779618e+00
3.984148324153525233e+08,7.194950170505149290e+06,4.125180463270233417e+02,4.056101951039040089e+08,8.554672535565614725e+42,2.905084745762712028e+00
3.948971937919963598e+08,7.131425340218471363e+06,4.088758892220928942e+02,4.020290280081040859e+08,1.081180751076612141e+43,3.057457627118643995e+00
3.907844147137886286e+08,7.057152903244655579e+06,4.046175246927595595e+02,3.978419722345579863e+08,1.366448349295324472e+43,3.209830508474576405e+00
