# 42<log(Lx)<43, 43<log(Lx)<44, 44<log(Lx)<47, 42<log(Lx)<47, L_x, Z_list
9.207112976227705303e+02,9.133463385692652992e+01,2.659908093919514993e+00,1.014705839573616572e+03,1.000000000000000045e+42,1.000000000000000021e-02
1.148974113851701986e+05,1.222604161712903260e+04,3.795344561510676726e+02,1.275029874584502977e+05,1.097498765493059010e+42,1.008080808080808050e-01
4.956339160591154359e+05,5.625551944678727159e+04,1.851888742986887337e+03,5.537413242488895776e+05,1.204503540258788464e+42,1.916161616161616288e-01
1.255350050114163430e+06,1.512591408012324828e+05,5.257026727667745945e+03,1.411866217643063748e+06,1.321941148466039463e+42,2.824242424242424665e-01
2.424308089158120565e+06,3.191425295380784082e+05,1.166598797035139796e+04,2.755116606666550040e+06,1.450828778495931205e+42,3.732323232323232487e-01
3.568575783598225564e+06,5.838603995622423245e+05,2.237316510766768988e+04,4.174809348268135916e+06,1.592282793341087251e+42,4.640404040404040309e-01
4.503212299414959736e+06,9.707253224803555058e+05,3.888074106701061828e+04,5.512818362962326035e+06,1.747528400007683101e+42,5.548484848484849241e-01
5.139819835857207887e+06,1.504242134902275633e+06,6.288172995108673058e+04,6.706943700710569508e+06,1.917910261672492589e+42,6.456565656565657063e-01
5.564489877236083150e+06,2.062880531543805031e+06,9.624403686212033790e+04,7.723614445642008446e+06,2.104904144512030370e+42,7.364646464646464885e-01
5.868475144620466977e+06,2.539744910003311001e+06,1.409967380454213417e+05,8.549216792669199407e+06,2.310129700083177065e+42,8.272727272727272707e-01
6.067726047933103517e+06,2.917177170008519199e+06,1.993189286442985467e+05,9.184222146585920826e+06,2.535364493970095930e+42,9.180808080808080529e-01
6.178803069996735081e+06,3.186908596749390941e+06,2.735309901727342512e+05,9.639242656918860972e+06,2.782559402207114472e+42,1.008888888888888946e+00
6.217415944357524626e+06,3.348552461861970834e+06,3.660879044173475704e+05,9.932056310636842623e+06,3.053855508833412644e+42,1.099696969696969839e+00
6.197702771080186591e+06,3.407569228650447913e+06,4.795741835792736383e+05,1.008484618330990896e+07,3.351602650938847647e+42,1.190505050505050511e+00
6.131957466168968007e+06,3.380396447071570903e+06,6.020420556567913154e+05,1.011439596889732964e+07,3.678379771828649402e+42,1.281313131313131404e+00
6.030615401597929187e+06,3.324529074066296220e+06,7.098808461649334058e+05,1.006502532182915881e+07,4.037017258596582605e+42,1.372121212121212075e+00
5.902376749388223514e+06,3.253834277714789379e+06,7.761824855435428908e+05,9.932393512646555901e+06,4.430621457583850243e+42,1.462929292929292968e+00
5.754393609165544622e+06,3.172254833598429803e+06,8.232171825507854810e+05,9.749865625314760953e+06,4.862601580065333662e+42,1.553737373737373861e+00
5.592477339728693478e+06,3.082994400050537661e+06,8.526560067216847092e+05,9.528127746500914916e+06,5.336699231206301978e+42,1.644545454545454533e+00
