# 42<log(Lx)<43.5, 43.5<log(Lx)<45, 45<log(Lx)<47, 42<log(Lx)<47, L_x, Z_list
1.188222626706394658e+04,1.983195899777767579e+02,5.521769013863775388e-01,1.502710851692866127e+05,1.000000000000000045e+42,1.000000000000000021e-02
7.255633990866844542e+06,1.210997270844846935e+05,3.371753242719979653e+02,9.175990836169585586e+07,1.264855216855290642e+42,1.934693877551020569e-01
3.500840262307117879e+07,6.696347181580249453e+05,1.864449315242479088e+03,3.471057879622839689e+08,1.599858719606070376e+42,3.769387755102041049e-01
6.179692361696147174e+07,1.988069775216664653e+06,5.535339238761339402e+03,5.199188191875969768e+08,2.023589647725163745e+42,5.604081632653061806e-01
7.886638525445596874e+07,4.436283295234429650e+06,1.235184665271441372e+04,6.335690914740325212e+08,2.559547922699533325e+42,7.438775510204082009e-01
8.636022203192077577e+07,8.080325691098760813e+06,2.328549088463641965e+04,6.941815116584017277e+08,3.237457542817626676e+42,9.273469387755102211e-01
8.827751283025863767e+07,1.077633678899656981e+07,3.924819971086565783e+04,7.118114004965389967e+08,4.094915062380452278e+42,1.110816326530612352e+00
8.688003076751165092e+07,1.226173901928016357e+07,6.109046454661635653e+04,7.022485029859528542e+08,5.179474679231223017e+42,1.294285714285714262e+00
8.347205135327817500e+07,1.287016364915556461e+07,8.960956683599443932e+04,6.758312149389574528e+08,6.551285568595495677e+42,1.477755102040816393e+00
7.896031324644836783e+07,1.288783981372396089e+07,1.255594433256575721e+05,6.400528893301526308e+08,8.286427728546792018e+42,1.661224489795918524e+00
7.394174270981188118e+07,1.253007946752765588e+07,1.696591738638865063e+05,5.998894227050397396e+08,1.048113134154691668e+43,1.844693877551020433e+00
6.879326218805155158e+07,1.175784229021101445e+07,1.754797872394940641e+05,5.582358607610840797e+08,1.325711365590110934e+43,2.028163265306122121e+00
6.374306982762941718e+07,1.089468558822532929e+07,1.625976145856825169e+05,5.172551252986047268e+08,1.676832936811003040e+43,2.211632653061224474e+00
5.892184521415126324e+07,1.007066304811085388e+07,1.502994992979627859e+05,4.781323916699789762e+08,2.120950887920175204e+43,2.395102040816326383e+00
5.439775899401362240e+07,9.297426097400628030e+06,1.387593329777093313e+05,4.414208434030508995e+08,2.682695795279738348e+43,2.578571428571428292e+00
5.019975629107525945e+07,8.579921909561693668e+06,1.280509496606236498e+05,4.073553611477372646e+08,3.393221771895329561e+43,2.762040816326530646e+00
4.633277797750751674e+07,7.918994956769352779e+06,1.181869526623471174e+05,3.759760385402741432e+08,4.291934260128760617e+43,2.945510204081632555e+00
4.278758910615986586e+07,7.313066842408817261e+06,1.091437852200576017e+05,3.472079368656136990e+08,5.428675439323904062e+43,3.128979591836734464e+00
3.954705541096590459e+07,6.759209052963504568e+06,1.008777407661600737e+05,3.209120169001256227e+08,6.866488450043026347e+43,3.312448979591836817e+00
3.659010196485559642e+07,6.253819554442228749e+06,9.333506078418555262e+04,2.969172621855168939e+08,8.685113737513520549e+43,3.495918367346938727e+00
3.389416877695281059e+07,5.793042492269269191e+06,8.645819861515743833e+04,2.750406054340287447e+08,1.098541141987552849e+44,3.679387755102040636e+00
3.143669687338278443e+07,5.373022185690164566e+06,8.018961019429341832e+04,2.550989876105337739e+08,1.389495494373147283e+44,3.862857142857142989e+00
2.919599271019621193e+07,4.990050869433281012e+06,7.447395901979639893e+04,2.369163723737682998e+08,1.757510624854796602e+44,4.046326530612244454e+00
2.715169713588307053e+07,4.640648846722878516e+06,6.925931239561815164e+04,2.203275515608041584e+08,2.222996482526191083e+44,4.229795918367346808e+00
2.528500574668126926e+07,4.321602151441367343e+06,6.449770351997700345e+04,2.051799333016508818e+08,2.811768697974213827e+44,4.413265306122449161e+00
2.357873574605199322e+07,4.029973975456994027e+06,6.014530203238531976e+04,1.913340845630289018e+08,3.556480306223150318e+44,4.596734693877550626e+00
2.201730070575625822e+07,3.763100354897753336e+06,5.616234963349503960e+04,1.786635263423823714e+08,4.498432668969453207e+44,4.780204081632652979e+00
2.058663264695961028e+07,3.518576852596181910e+06,5.251296132738883898e+04,1.670541013803480268e+08,5.689866029018281824e+44,4.963673469387755333e+00
1.927407652938593179e+07,3.294240524638705887e+06,4.916485628154707956e+04,1.564031179731636941e+08,7.196856730011469450e+44,5.147142857142856798e+00
1.806827289906555787e+07,3.088149863034165930e+06,4.608905848142503964e+04,1.466183976957530677e+08,9.102981779915264101e+44,5.330612244897959151e+00
1.695903837286650017e+07,2.898564368654596154e+06,4.325959186703458545e+04,1.376173055709752142e+08,1.151395399326448145e+45,5.514081632653061504e+00
1.593724970427645370e+07,2.723924736267849803e+06,4.065318460468138073e+04,1.293258092996243984e+08,1.456348477501238376e+45,5.697551020408162969e+00
1.499473464346550964e+07,2.562834200818752870e+06,3.824899068974506372e+04,1.216775936238822639e+08,1.842069969326701252e+45,5.881020408163265323e+00
1.412417119282623939e+07,2.414041318628377747e+06,3.602833296487890766e+04,1.146132428174577057e+08,2.329951810515381535e+45,6.064489795918367676e+00
1.331899584977924079e+07,2.276424284657313023e+06,3.397446906317655521e+04,1.080794961045785248e+08,2.947051702551809539e+45,6.247959183673469141e+00
1.257332081275575608e+07,2.148976781715781428e+06,3.207238021486777143e+04,1.020285758123708069e+08,3.727593720314922669e+45,6.431428571428571495e+00
1.188185976613825560e+07,2.030795295951539418e+06,3.030858193745580138e+04,9.641758513880537450e+07,4.714866363457428370e+45,6.614897959183673848e+00
1.123986166462907381e+07,1.921067799564978573e+06,2.867095513102477344e+04,9.120797083350807428e+07,5.963623316594661063e+45,6.798367346938775313e+00
1.064305184704129957e+07,1.819063686236775480e+06,2.714859586964145637e+04,8.636504535454089940e+07,7.543120063354606750e+45,6.981836734693877666e+00
1.008757978438093327e+07,1.724124840459614294e+06,2.573168211569467530e+04,8.185756286039319634e+07,9.540954763499885144e+45,7.165306122448980020e+00
9.569972781434042379e+06,1.635657724416744662e+06,2.441135562060110897e+04,7.765734351280416548e+07,1.206792640639336259e+46,7.348775510204081485e+00
9.087094988023390993e+06,1.553126372365907999e+06,2.317961736956807727e+04,7.373894086589780450e+07,1.526417967175236564e+46,7.532244897959183838e+00
8.636111124800171703e+06,1.476046190811007982e+06,2.202923505232125899e+04,7.007934751229897141e+07,1.930697728883245658e+46,7.715714285714286191e+00
8.214454381994320080e+06,1.403978471897450043e+06,2.095366117833623139e+04,6.665773459150855243e+07,2.442053094548634828e+46,7.899183673469387656e+00
7.819798003699548542e+06,1.336525536722911987e+06,1.994696059323299778e+04,6.345522120524156094e+07,3.088843596477497513e+46,8.082653061224489122e+00
7.450030122476632707e+06,1.273326434178252239e+06,1.900374628617456983e+04,6.045467020808112621e+07,3.906939937054620993e+46,8.266122448979592363e+00
7.103231457906843163e+06,1.214053129282187205e+06,1.811912250271021549e+04,5.764050723820043355e+07,4.941713361323817927e+46,8.449591836734693828e+00
6.777655537525725551e+06,1.158407122630148195e+06,1.728863429177751823e+04,5.499856021640884131e+07,6.250551925274027155e+46,8.633061224489795293e+00
6.471711139078357257e+06,1.106116449501659488e+06,1.650822271891293713e+04,5.251591687053223699e+07,7.906043210907733748e+46,8.816530612244898535e+00
6.183946689307516441e+06,1.056933013369710650e+06,1.577418507024270730e+04,5.018079813644621521e+07,1.000000000000000044e+47,9.000000000000000000e+00
