# 42<log(Lx)<43.5, 43.5<log(Lx)<45, 45<log(Lx)<47, 42<log(Lx)<47, L_x, Z_list
1.188222800284765435e+04,1.983196275838324425e+02,5.522090956691086960e-01,4.497120047520927037e+05,1.000000000000000045e+42,1.000000000000000021e-02
1.246412275425459258e+07,2.080317077058725699e+05,5.792517996444931896e+02,4.717352360137078166e+08,1.343399332598909742e+42,2.405128205128205243e-01
4.981288220309028774e+07,1.226880148871638346e+06,3.416174111240724415e+03,1.321812032487223625e+09,1.804721766827166405e+42,4.710256410256410398e-01
7.584065294186137617e+07,3.752456602593293879e+06,1.044849010811955122e+04,1.816327052827083826e+09,2.424462017082340610e+42,7.015384615384615552e-01
8.646415749075774848e+07,8.167473732631147839e+06,2.362959005557133787e+04,2.044298299076600313e+09,3.257020655659769704e+42,9.320512820512820706e-01
8.815448372092860937e+07,1.130310595849092305e+07,4.478074862412666698e+04,2.087707500802086115e+09,4.375479375074198067e+42,1.162564102564102475e+00
8.522869189190931618e+07,1.267848083258369565e+07,7.557270137072740181e+04,2.020417474703724623e+09,5.878016072274876006e+42,1.393076923076923102e+00
7.994290282293845713e+07,1.292083377632443048e+07,1.175506401821801701e+05,1.896142824961986780e+09,7.896522868499732968e+42,1.623589743589743728e+00
7.367842288461570442e+07,1.250463233556751721e+07,1.721632640072809299e+05,1.748246427133393764e+09,1.060818355139439577e+43,1.854102564102564132e+00
6.722128412095610797e+07,1.148916575820200890e+07,1.714799282687231898e+05,1.595131853509881258e+09,1.425102670302996217e+43,2.084615384615384315e+00
6.098977071504801512e+07,1.042410293797812611e+07,1.555834828820513503e+05,1.447260749002978086e+09,1.914481976169969277e+43,2.315128205128204719e+00
5.518621801707388461e+07,9.432185276698285714e+06,1.407787552817628894e+05,1.309544966076186419e+09,2.571913809059336558e+43,2.545641025641025568e+00
4.989059755418237299e+07,8.527081155491547659e+06,1.272697509687683487e+05,1.183882194307982683e+09,3.455107294592232465e+43,2.776153846153845972e+00
4.511602627686798573e+07,7.711032465753498487e+06,1.150899309779071773e+05,1.070583693232149363e+09,4.641588833612753248e+43,3.006666666666666377e+00
4.084094883128274977e+07,6.980355061360294931e+06,1.041843081041597907e+05,9.691379636711908579e+08,6.235507341273925276e+43,3.237179487179487225e+00
3.702746028344266862e+07,6.328570397974485531e+06,9.445618774483233574e+04,8.786455380175985098e+08,8.376776400682855798e+43,3.467692307692307629e+00
3.363152386787704378e+07,5.748151905632927082e+06,8.579323313809600950e+04,7.980614429679417610e+08,1.125335582600764652e+44,3.698205128205128034e+00
3.060849573485860601e+07,5.231469254205733538e+06,7.808155886434175773e+04,7.263262993732839823e+08,1.511775070615672282e+44,3.928717948717948438e+00
2.791595663879891485e+07,4.771272333102495410e+06,7.121295441724058765e+04,6.624335169739285707e+08,2.030917620904730480e+44,4.159230769230768843e+00
2.551501651097287983e+07,4.360914223095594905e+06,6.508821213834713853e+04,6.054602513431459665e+08,2.728333376486780473e+44,4.389743589743589247e+00
2.337076939333011955e+07,3.994428951603093650e+06,5.961828774264291860e+04,5.545781992687761784e+08,3.665241237079611065e+44,4.620256410256409652e+00
2.145229087583574653e+07,3.666531054690236226e+06,5.472429378125008952e+04,5.090535379424124360e+08,4.923882631706751978e+44,4.850769230769230944e+00
1.973240353215124458e+07,3.372575486369508319e+06,5.033690127332633710e+04,4.682413588501015902e+08,6.614740641230105203e+44,5.081282051282051349e+00
1.818733849225844815e+07,3.108499776084207930e+06,4.639547638571790594e+04,4.315776370377840400e+08,8.886238162743407167e+44,5.311794871794871753e+00
1.679636445887770131e+07,2.870760621828983072e+06,4.284713406249498803e+04,3.985704278321651816e+08,1.193776641714445551e+45,5.542307692307692157e+00
1.554142240521252714e+07,2.656271454297544900e+06,3.964580614741537283e+04,3.687911983769745231e+08,1.603718743751327714e+45,5.772820512820512562e+00
1.440678508837953769e+07,2.462344242418072652e+06,3.675137281062539842e+04,3.418667480346618295e+08,2.154434690031895420e+45,6.003333333333332966e+00
1.337874962739248201e+07,2.286636950136395637e+06,3.412887832226419414e+04,3.174719133955683112e+08,2.894266124716740169e+45,6.233846153846153371e+00
1.244536533955986612e+07,2.127107019412160385e+06,3.174783676946250125e+04,2.953231099539623857e+08,3.888155180308101089e+45,6.464358974358974663e+00
1.159619580170495622e+07,1.981970702770608710e+06,2.958162508006172720e+04,2.751726859241964817e+08,5.223345074266811428e+45,6.694871794871795068e+00
1.082211251556066237e+07,1.849667797500864137e+06,2.760695666784878995e+04,2.568040260102247894e+08,7.017038286703836210e+45,6.925384615384615472e+00
1.011511690607187524e+07,1.728831222389899194e+06,2.580342735437586089e+04,2.400273275026813149e+08,9.426684551178776477e+45,7.155897435897435876e+00
9.468187250543773174e+06,1.618260855526851490e+06,2.415312488878689692e+04,2.246759679741093218e+08,1.266380173467402129e+46,7.386410256410256281e+00
8.875147280491819605e+06,1.516901076310114935e+06,2.264029375420149881e+04,2.106033872579743266e+08,1.701254279852571880e+46,7.616923076923076685e+00
8.330553474016217515e+06,1.423821501956402091e+06,2.125104765318994032e+04,1.976804129456968009e+08,2.285463864134983727e+46,7.847435897435897090e+00
7.829598383067243733e+06,1.338200464622876840e+06,1.997312289788167254e+04,1.857929663846822679e+08,3.070290629757862224e+46,8.077948717948718382e+00
7.368027672051337548e+06,1.259310832011118066e+06,1.879566677738375802e+04,1.748400940405026376e+08,4.124626382901330972e+46,8.308461538461537899e+00
6.942068858308655210e+06,1.186507828003479168e+06,1.770905577640084084e+04,1.647322765394025147e+08,5.541020330009503378e+46,8.538974358974359191e+00
6.548370030094590038e+06,1.119218558610435808e+06,1.670473924623538187e+04,1.553899744726375937e+08,7.443803013251634845e+46,8.769487179487178707e+00
6.183947069982877932e+06,1.056932991627148353e+06,1.577510477291903590e+04,1.467423760307724774e+08,1.000000000000000044e+47,9.000000000000000000e+00
